stage,index,year,version,page,paragraph,2500Bott,singlebott,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transcational,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,transactional,bott_list
0.0,40,2007,August-September-2007,14,"2.Because progressive download is really just file delivery, is perfect for existing content delivery networks and, therefore, for supporting a very large viewing audience. Since viewers are downloading the video file, playback is not affected by how fast they are receiving the file.With progressive downloadand a little patience, the user can view the video without the start/stop buffer breakdown typical of streaming servers, ensuring a higher-quality viewing experience (p.56).",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,60,2007,August-September-2007,15,"1. We weren’t describing what is possible with each format, only what you’re likely seeing when you view those formats today. Also, the term “streaming media” has been used to cover all forms of video being delivered online. To define: ",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,80,2007,August-September-2007,18,"If DRM created such “friction between [content owners] and their customers” (as someone quoted in the article claims), how did Apple sell one billion-plus DRM-managed music tracks? How did American Idol sell 250,000 music tracks in five days using Windows Media DRM? How do Napster, the NBA, the UFC, Disney, Starz, Wal-Mart, CinemaNOW, MusicMatch, and [the list goes on and on] have such great success using DRM with all this friction? Where is the friction?",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,140,2007,August-September-2007,27,"Making instructors’ and students’ lives easier was the key return in language courses. The weekly hassle of making sure tapes were ready and available every week of every semester was eliminated. Students no longer had to buy tapes or compete to use a limited number of cassettes and players the night before a test. Add to that the fact that we no longer needed to staff a language lab or spend hours duplicating tapes, and it was easy to sell streaming in straightforward economic terms.",1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
0.0,360,2007,August-September-2007,65,"Newspapers with multimedia-rich websites will also profit from the general trend away from old media toward the new, according to Glaser.“ Advertisers are looking at media usage numbers, comparing time spent online versus time spent with old media, and they are realizing that it doesn’t make sense to spend all their budgets on old media,” says Glaser.“So it’s slowly shifting over to new media. In fact, in the U.K.there are now more online ads being sold than radio ads.”",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
0.0,400,2007,August-September-2007,76,"For the overall fastest live encoding speeds, you’ll want to look at Inlet’s Spinnaker, which is designedfor high-availability broadcast applications.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,480,2007,August-September-2007,82,"Timeline Global momentum for WiMAX is notably strong and growing.In the United States, Clearwire launched in 2003 and now operates in 39 domestic markets and four international markets, offering 1.5Mbps download and upto 256Kbps upload speeds. Last fall, Sprint Nextel also announced that it plans to develop and deploy the first 4G nationwide broadband mobile network based on Mobile WiMAX. The infrastructure costs will be $1 billion in 2007 and $1.5–$2 billion in 2008.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,500,2007,August-September-2007,86,"Why has it been so difficult to achieve compelling mobile video? Well, the math is simple: Phones need to be as cheap as possible so people will buy them. Video requires special video decoder chips, which add cost. But even with cheap chips, the phone itself has to download video smoothly and quickly—which requires a good network connection and a fast processor. Both of these cost money too—a lot. EVDO is plenty fast for the kind of video we’ve been trying to make work. But the fastest “smart” phones have a processor around 500Mhz, which pales in comparison to its desktop equivalent. So just getting those frames off the server is a struggle for these smart little phones. And when you try to stream the video instead of downloading it—on the inherently unstable network that is cellular—you’ve got too much stacked against a great user experience.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,540,2007,August-September-2007,93,"On the other hand, audio/video synchronization, an issue raised on Episode’s user boards, was perfect over the nearly six-minute test file. I also analyzed the WMV file created by Episode with Sliq Media’s WMSnoop, and the statistics and data-rate display looked similar to that of the file created in the Windows Media Encoder. ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,580,2007,August-September-2007,100,"Encoding Issues There are a couple of caveats. First, ProCoder has issues with multi-pass H.264 encoding when encoding within the ProCoder program. Specifically, if you set up a batch routine that includes multi-pass H.264 encoding, ProCoder will encode only the QuickTime files and none of the others in the queue. You can work around this issue by encoding in Job Queue Manager or via a watch folder, but not within ProCoder itself. In addition, the Job Queue Manager frequently displayed an unspecified error when encoding multi-pass H.264 files, so I used single-pass encoding for all performance tests and encoded files for quality-related tests one at a time.  ",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,600,2007,August-September-2007,102,"Input Support—Rhozet reserved high-end productionformats like MXF, GXF, LXF, Omneon, Quantel, PanasonicP2, and Sony XDCAM for Carbon Coder, their high-endproduct, so it should come as no surprise that a product inProCoder’s price range and target market wouldn’t supportthese broadcast and ENG-oriented input formats either.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,160,2007,February-2007-(Sourcebook),30,"Consumer content-generation blogs rose to prominence in 2005 but remained on the web, separate from mainstream media and viewed by traditional media outlets with significant skepticism. Then YouTube, MySpace, and Facebook exploded onto the scene, generating more content in several months than many mainstream media and entertainment outlets generate in an entire year.",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,
0.0,200,2007,February-2007-(Sourcebook),36,"WIth the birth of each new medium, its purveyors look to the media that came before them for direction.The first radio announcers simply read the newspaper on the air rather than writing their own copy.Early television was referred to as “radio with pictures.” Websites prior to “Web 2.0” were laid out like a magazine or newspaper. Mobile video is no different.The major wireless carriers are now looking to mobile video and other entertainment services to help them recoup billions ofdollars they invested in their 3G networks. Over the last year theyhave repeatedly touted how quickly mobile video usage is growing,yet have been infamously tight-lipped about providing specific numbers to back up their claims.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
0.0,240,2007,February-2007-(Sourcebook),41,"There is strong evidence that consumers welcome ad-supported models if it means access to “free” content. According to the Yankee Group, 40% of 18- to 35-year-olds say they are open to mobile advertising if it subsidized their content options. “Over the next six months you are going to see more and more adsupported services for wireless,” says Johansson. MSNBC is partnering with Action Engine to launch an ad-supported mobile news service, so users can experience MSNBC.com without incurring another subscription fee. ",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
0.0,260,2007,February-2007-(Sourcebook),44,"While not every network is offering full-length shows via adsupported streaming, you’d be hard pressed to find one that doesn’t now deliver some portion of its content online. And perhaps there is no better way to get advertisers’ feet wet online than through the major TV broadcasters as the online industry tries to pull more advertising dollars across the table.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
0.0,280,2007,February-2007-(Sourcebook),46,"Perhaps the most interesting aspect of YouTube and most any user-generated platform has been the impact of individuals on increasing consumer demand for products. A 17-year-old user nick-named BowieChick uploaded a video called “My Webcam” in March that introduced Logitech Web cameras to an audience with morethan 200,000 views. Later in the year, videos of toy helicopter Picco Z were credited with sparking an unprecedented demand for the product during the 2006 Christmas shopping season.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
0.0,320,2007,February-2007-(Sourcebook),54,"As individuals begin to post more and more of their own videos online and distribute them around the world, management executives are asking pointed questions about why the technology can’t be put to work in the same way within their organizations, says Todd Johnson, senior vice president of marketing for VeriSign, which recently got into the content delivery game with its acquisition of Kontiki.",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
0.0,340,2007,February-2007-(Sourcebook),58,"The ability to better manage content makes enterprise webcasting a critical linchpin in holding together a range of other communications technologies. The systems now being deployed to archive and track online video events can be configured to capture and redistribute content developed using other technologies, such as video and web conferencing, says Accordent’s Newman.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,360,2007,February-2007-(Sourcebook),60,"“About 70% of the large enterprises that we’re working with today have a second phase project planned between now and the middle of 2007 where they are actually going to start to use Kontiki outside the firewall to communicate to partners and in some cases to actually communicate with high-value customers,” Johnson says.“We’re at the very, very early stage of how people are going to start to use video within their whole line of business.” ",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,400,2007,February-2007-(Sourcebook),67,"In 1995, Acacia purchased a number of patents related to networked digital media from inventors Paul Yurt and Lee Browne. These patents, as well as patents it has subsequently acquired in this area, have since been bundled into a collection termed the Digital Media Transmission (which it has trademarked as “DMT”) patents. One school ofthought, promoted by Acacia, holds that the DMT patents are central to interrelated system operations. Amid growing public acceptance of that perception, DMT has become Acacia Research Corporation’s primary weapon in attempting to secure dominance in the sector.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,480,2007,February-2007-(Sourcebook),75,"The industry also received strong endorsements from technology heavy weights that have historically paid only cursory attention to streaming. Cisco made headlines by declaring an aggressive commitment to streaming, buttressed by CEO John Chambers’ declaration that the revenue opportunity demanded attention even by Cisco’s lofty revenue standards. In the span of a week, Cisco announced the release of appliances optimized for streaming, as well as a system for managing the distribution of streaming content. Similarly, IBM initiated an aggressive digital media program and has worked diligently to align itself with the leaders in the streaming industry. When players of this size recalibrate their digital media strategies, it is evidence of both the maturation of the technology and its rising prominence as a key driver for application and infrastructure investment.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,
0.0,520,2007,February-2007-(Sourcebook),82,"Many factors affect the price you pay for the delivery of audio and video content via streaming and downloads. With this inmind, let’s look at the two biggest factors that affect the price that are relevant to all delivery providers—bandwidth commit and storage—and what you can do to help get the best price.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
